,X,Y,Class,Method
0,0.06450515168712218,0.25636027538776224,2,t-SNE
1,0.5503884024624135,0.015314101138143799,2,UMAP
2,0.16171742782047,0.39374591574592205,2,PCA
3,0.04007591515948544,0.5203035343582791,59,t-SNE
4,0.6088040496248692,0.5333730552287774,59,UMAP
5,0.055611346247587345,0.550931890545217,59,PCA
6,0.6660296223286086,0.40227514312348267,44,t-SNE
7,0.273879310518672,0.8001852877123082,44,UMAP
8,0.7249854687221651,0.2729136749784072,44,PCA
9,0.8014596258137295,0.04746273101499521,62,t-SNE
10,0.5948635187537645,0.7793368603629552,62,UMAP
11,0.9336810962348967,0.45809570561007745,62,PCA
12,0.8451856378563785,0.2538202334674209,46,t-SNE
13,0.39548242351717583,0.8243466228478395,46,UMAP
14,0.9303563735252016,0.4725693694818058,46,PCA
15,0.6574431996118191,0.4078084374632515,44,t-SNE
16,0.27767797646558234,0.8013340715286197,44,UMAP
17,0.7049772369247809,0.31098066775425043,44,PCA
18,0.3601144899284269,0.2783115277055076,69,t-SNE
19,0.42773740456937703,0.396660293299626,69,UMAP
20,0.3808214111013536,0.2823917871507336,69,PCA
21,0.33197896565928214,0.44865514175382787,54,t-SNE
22,0.5745240962283753,0.3931996736537042,54,UMAP
23,0.2570082234419109,0.3936455830905996,54,PCA
24,0.4102220218256749,0.4310101399093878,67,t-SNE
25,0.5720798572805438,0.4306398275807214,67,UMAP
26,0.42686675600134666,0.2401407977924122,67,PCA
27,0.059582779213618375,0.6477275025315171,61,t-SNE
28,0.39326600464169714,0.14451667028723114,61,UMAP
29,0.03386703917605155,0.6261007798486595,61,PCA
30,0.052407266545854425,0.5293749282790102,59,t-SNE
31,0.6129415034999894,0.5341132411736679,59,UMAP
32,0.06516968144394791,0.5619561361628296,59,PCA
33,0.06027434193089726,0.7457062718398257,35,t-SNE
34,0.3519999494354606,0.0897099732252084,35,UMAP
35,0.002541211419412659,0.6220678464224473,35,PCA
36,0.7756095220660013,0.9867367021884972,41,t-SNE
37,1.0,0.5133139457103091,41,UMAP
38,0.7066144269528982,0.8794394351185613,41,PCA
39,0.34377867959430863,0.3813039671587842,1,t-SNE
40,0.5601875407966583,0.41369546269379903,1,UMAP
41,0.33760431236297717,0.15241309189840646,1,PCA
42,0.04617818465297335,0.741561810954577,35,t-SNE
43,0.34829620425181373,0.08449104034160743,35,UMAP
44,0.0023685813020054014,0.6339678310925938,35,PCA
45,0.3951569274581125,0.7337668079308698,19,t-SNE
46,0.6171899646175837,0.2561442370305773,19,UMAP
47,0.2650553829340776,0.38587279961721976,19,PCA
48,0.0675326201142315,0.6874190053057074,55,t-SNE
49,0.3731870950504319,0.1375178279116575,55,UMAP
50,0.011493018574297131,0.6230431329837676,55,PCA
51,0.012396844484795055,0.5672833933757109,22,t-SNE
52,0.35238713268513255,0.20989274697052632,22,UMAP
53,0.030354206407603446,0.6418983687149518,22,PCA
54,0.8470256831074472,0.2333620090998692,42,t-SNE
55,0.4005244540794264,0.8283451603657979,42,UMAP
56,0.9298546163127858,0.529734828680676,42,PCA
57,0.056602998642583335,0.16173885352218914,30,t-SNE
58,0.6203078722693889,0.00977815806019805,30,UMAP
59,0.4008715636398311,0.3771094072012175,30,PCA
60,0.5036494058754725,0.43934570400328987,6,t-SNE
61,0.6452614370229415,0.3931463300906462,6,UMAP
62,0.6500462013063442,0.510443178498956,6,PCA
63,0.04787461130956133,0.3151084743413971,8,t-SNE
64,0.5134812356483044,0.020669033377084367,8,UMAP
65,0.0840802203486189,0.5123480057600208,8,PCA
66,0.2713335997755385,0.35836136381816197,36,t-SNE
67,0.475186241983563,0.345542311446608,36,UMAP
68,0.34697277231861234,0.27115205455569225,36,PCA
69,0.10793657799315559,0.6010059219574281,51,t-SNE
70,0.42156385163054927,0.16147014390374737,51,UMAP
71,0.03301960050917324,0.5881793256670658,51,PCA
72,0.042318088034890455,0.25537498350091636,3,t-SNE
73,0.5620273684685488,0.0021140532580256055,3,UMAP
74,0.13337108941179632,0.41037285737663004,3,PCA
75,0.1742737381511329,0.7916225290032224,16,t-SNE
76,0.24470572178528638,0.07993924753629933,16,UMAP
77,0.14247216527935813,0.5415387798228509,16,PCA
78,0.13228060688968746,0.26863070369237063,21,t-SNE
79,0.5022128819572363,0.107931357226625,21,UMAP
80,0.2517088949132865,0.256033442563406,21,PCA
81,0.57646620065478,0.4158819997939598,43,t-SNE
82,0.31975321101761534,0.8753073155135493,43,UMAP
83,0.5907498517696368,0.40560170512848015,43,PCA
84,0.41037327758146375,0.36989450153207637,27,t-SNE
85,0.6247780327789925,0.4244010926759327,27,UMAP
86,0.458175355535541,0.294953895167564,27,PCA
87,0.25556439354700716,0.7801506989715133,57,t-SNE
88,0.8472020125112063,0.18652383300687403,57,UMAP
89,0.03955164305833375,0.630291138693496,57,PCA
90,0.7689866823447524,1.0,52,t-SNE
91,0.9975947695580394,0.5046564849264991,52,UMAP
92,0.6924031510912556,0.8496581596092649,52,PCA
93,0.05846717643534338,0.7403735217306489,35,t-SNE
94,0.35193309557575486,0.08987666697004648,35,UMAP
95,0.01141190230685668,0.6213461937006052,35,PCA
96,0.8890410154192067,0.40190205929639244,10,t-SNE
97,0.4121670003290831,0.567299652608358,10,UMAP
98,0.9999999999999999,0.384833857284482,10,PCA
99,0.6849868327790694,0.9811394457795002,32,t-SNE
100,0.8890330264034019,0.4259779598897088,32,UMAP
101,0.6905387388344931,0.9273746108047725,32,PCA
102,0.7746692187810051,0.9773135054169801,41,t-SNE
