,X,Y,Class,Method
0,0.7751441640518008,0.42646046017465455,1,t-SNE
1,0.11393702016865903,0.13547585924913352,1,UMAP
2,0.2535065461464958,0.29253194896513435,1,PCA
3,0.0,0.3778935565649557,1,t-SNE
4,0.08889384016716828,0.3070378352302988,1,UMAP
5,0.44151196378220037,0.2195691860643001,1,PCA
6,0.15410411438493182,0.5847783303787368,0,t-SNE
7,0.005459699950394414,0.39812932420281066,0,UMAP
8,0.3463760104870781,0.26489977037443296,0,PCA
9,0.733779919920421,0.7645156438905171,1,t-SNE
10,0.8954564614502827,1.0,1,UMAP
11,0.4621013728309556,0.25236160193570023,1,PCA
12,0.5624941922502538,0.5955633336388653,0,t-SNE
13,0.3057172378164284,0.6479809104571392,0,UMAP
14,0.5468189981405058,0.6001182685021317,0,PCA
15,0.42124919698419916,0.8938138596724705,1,t-SNE
16,0.19019891073305767,0.4272561595288703,1,UMAP
17,0.5164670748421248,0.7993745125522902,1,PCA
18,0.5178666790229689,0.45522698034087805,0,t-SNE
19,0.890904312602649,0.9550445522810458,0,UMAP
20,0.6364792111354439,0.11298441999726427,0,PCA
21,0.30153631702790507,0.8806502742936928,0,t-SNE
22,0.21019542806031838,0.4570187308596254,0,UMAP
23,0.43616091901901655,0.6270528603170176,0,PCA
24,0.38118527146033654,0.8413425186927666,0,t-SNE
25,0.21385917407966198,0.46564774278715393,0,UMAP
26,0.5791343988682836,0.5426606084909626,0,PCA
27,0.6499596226537769,0.5768533012797399,0,t-SNE
28,0.34350275915069045,0.5972215365865813,0,UMAP
29,0.7287035139488945,0.6740668154897815,0,PCA
30,0.9077099298351908,0.5927601090271095,1,t-SNE
31,0.2567932680321486,0.44141083071476483,1,UMAP
32,0.41603151439368313,0.9178548518942071,1,PCA
33,0.844865474535229,0.6496700892263029,1,t-SNE
34,0.234500949703009,0.3645578133182017,1,UMAP
35,0.18623283612467756,0.7940247658592794,1,PCA
36,0.2787732105010444,0.16969903581128237,1,t-SNE
37,0.9262657780496519,0.9103802876683464,1,UMAP
38,0.5432926399870466,0.1661102462633715,1,PCA
39,0.012700379952697904,0.39596413587795065,1,t-SNE
40,0.089286861713475,0.31163678203712286,1,UMAP
41,0.31654353509339905,0.2613382609414225,1,PCA
42,0.22012692516415372,0.16188487046525363,1,t-SNE
43,0.08400036368870306,0.36582117394581803,1,UMAP
44,0.47087442863469314,0.200168310584106,1,PCA
45,0.46800585022303676,0.6141699236973798,0,t-SNE
46,0.29468783172136565,0.5390967180755194,0,UMAP
47,0.5520824310182588,0.8244879056835175,0,PCA
48,0.955293728531704,0.29701102400323387,1,t-SNE
49,0.11197955889572286,0.014343583717480846,1,UMAP
50,0.24543892538865805,0.3602376257844893,1,PCA
51,0.5259210959239354,0.7361351869457211,0,t-SNE
52,0.2835593429443107,0.5689822517541961,0,UMAP
53,0.6956371042407553,0.5086476070242317,0,PCA
54,0.4596483735975213,0.3158793297868262,0,t-SNE
55,0.9913652848209444,0.9007610155212324,0,UMAP
56,0.39858349754712624,0.28269566952826664,0,PCA
57,0.8315803878392505,0.29551341740170467,1,t-SNE
58,0.14134719676972463,0.04116435837148974,1,UMAP
59,0.1934198879510569,0.38148638357821696,1,PCA
60,0.8077649458274201,0.049707055759296626,1,t-SNE
61,0.03848395143277927,0.14519024638890454,1,UMAP
62,0.2807489763487197,0.36768292235416017,1,PCA
63,0.07852794485397169,0.5769347978545073,0,t-SNE
64,0.01921638578247048,0.40923628576521986,0,UMAP
65,0.5276192514086067,0.3418835671996515,0,PCA
66,0.5074995880033875,0.6935822917721026,0,t-SNE
67,0.2971934926709658,0.6316337379440391,0,UMAP
68,0.6796696748090585,0.5242370155401429,0,PCA
69,0.3401240252450235,0.8924310001420033,0,t-SNE
70,0.19177498078746963,0.47387418218736943,0,UMAP
71,0.3934302663942043,0.6431094672404905,0,PCA
72,0.3944413194075841,0.6421668150249069,0,t-SNE
73,0.29763531661479065,0.5785918109091214,0,UMAP
74,0.8165725933335692,0.45435752084889386,0,PCA
75,0.5232552548807394,0.9070243369470009,1,t-SNE
76,0.2664135410428485,0.5173590415570629,1,UMAP
77,0.5185891470994672,0.8005180060626296,1,PCA
78,0.8090410205260381,0.6397454035586647,1,t-SNE
79,0.24024369713341337,0.3604033392337178,1,UMAP
80,0.3327124709487508,0.948980497799904,1,PCA
81,0.446309211596953,0.28545708393160774,0,t-SNE
82,0.9670689517797615,0.9627501583075648,0,UMAP
83,0.4894933677651961,0.2251276720761624,0,PCA
84,0.6251874902245202,0.4377819786797473,0,t-SNE
85,0.6432453497965658,0.8391793017583073,0,UMAP
86,0.6042856622671458,0.14798631239957585,0,PCA
87,0.6625195857220026,0.10558145791417839,1,t-SNE
88,0.2720067006109456,0.5206046275639684,1,UMAP
89,0.41696258517658075,0.6984994050423093,1,PCA
90,0.5882154512371023,0.27294807330599974,1,t-SNE
91,0.5679387203812176,0.8256542701245642,1,UMAP
92,0.36352097509075676,0.26288767715714,1,PCA
93,0.41527040930766634,0.9785774135279987,1,t-SNE
94,0.1688416450552473,0.4077002380483892,1,UMAP
95,0.4498033583918991,0.5916599861812103,1,PCA
96,0.8253932943397779,0.2002334929640383,1,t-SNE
97,0.16315322603445664,0.08644126480001035,1,UMAP
