,X,Y,Class,Method
0,0.40443950477644963,0.33817970938711894,8,t-SNE
1,0.21999436748815576,0.9994452568728898,8,UMAP
2,0.2693173949183669,0.009366909882686486,8,PCA
3,0.3783319575084852,0.9492329183551587,3,t-SNE
4,0.5617372548785847,0.5229218482333842,3,UMAP
5,0.9996725605073418,0.3745263420363516,3,PCA
6,0.3571948791842131,0.21058947918829346,7,t-SNE
7,0.05989478956450106,0.9219843001458294,7,UMAP
8,0.2713928208112344,0.007435882273292366,7,PCA
9,0.5614258269814048,0.6057747199089559,4,t-SNE
10,0.3855633459007368,0.7832743255513445,4,UMAP
11,0.27123986851949033,0.003734464670224924,4,PCA
12,0.5970464579667822,0.4782788173858938,4,t-SNE
13,0.39532695155089004,0.6619078135461431,4,UMAP
14,0.27269963245311246,0.0058389085862185774,4,PCA
15,0.53830706620369,0.5378651500355,4,t-SNE
16,0.4287774646207165,0.813881112788054,4,UMAP
17,0.2715558233772849,0.00525414900005805,4,PCA
18,0.37364336487514704,0.8958212543670109,3,t-SNE
19,0.9332909023779865,0.5177297833550566,3,UMAP
20,0.9996323139849594,0.37499705282091234,3,PCA
21,0.28494423198202146,0.8467642724040795,4,t-SNE
22,0.7318620648242797,0.9575933548222072,4,UMAP
23,0.7126458095150703,0.22711192971659194,4,PCA
24,0.3783433448849393,0.9492062613260334,3,t-SNE
25,0.5621743944080663,0.5231910060604331,3,UMAP
26,0.9996725604634928,0.37452634181481165,3,PCA
27,0.5986743258933493,0.5801526178996824,4,t-SNE
28,0.37562034610143297,0.7521454361280079,4,UMAP
29,0.2718832610237594,0.004063391243154191,4,PCA
30,0.526080768026657,0.2454573090241733,8,t-SNE
31,0.00932275426537893,0.8231509972148707,8,UMAP
32,0.2751723916239949,0.0055694634107559815,8,PCA
33,0.40985133838928717,0.9784577883380623,3,t-SNE
34,0.32218646122906813,0.5111907879785953,3,UMAP
35,0.9991541126697328,0.37641169256724255,3,PCA
36,0.5074828948835929,0.24830776565395585,5,t-SNE
37,0.03578725854289899,0.8233390163693858,5,UMAP
38,0.275516434538459,0.007284763330106053,5,PCA
39,0.5126836343080367,0.5816882165678562,8,t-SNE
40,0.38598671682413227,0.8201432614240743,8,UMAP
41,0.2706271570095003,0.004603916258467816,8,PCA
42,0.5711061507801215,0.5032558389146488,5,t-SNE
43,0.3597821064146126,0.6548098509808078,5,UMAP
44,0.2718705459635552,0.0054208506595523065,5,PCA
45,0.3673608308864629,0.22628329245067805,7,t-SNE
46,0.07348284954632722,0.9270028116251886,7,UMAP
47,0.2719947253904903,0.009101747485732059,7,PCA
48,0.2074287301487096,0.8266768424749,2,t-SNE
49,0.6911462304226147,0.7618986775476595,2,UMAP
50,0.9984974043433239,0.3757025290477228,2,PCA
51,0.0352459943586057,0.5109184211605547,2,t-SNE
52,0.6334039695129052,0.008508574998242091,2,UMAP
53,0.9992034522157949,0.376520337142992,2,PCA
54,0.42243822029030387,0.34538752656091,4,t-SNE
55,0.21394989456136776,0.9940384170519616,4,UMAP
56,0.2705942442099988,0.008157919005080339,4,PCA
57,0.5710036086019485,0.5031762843433527,5,t-SNE
58,0.364095803387377,0.6573393862932507,5,UMAP
59,0.2718705488268062,0.005420860995144106,5,PCA
60,0.5254269702070526,0.5653119961757416,4,t-SNE
61,0.41570238578310426,0.8212315101759635,4,UMAP
62,0.2711541818077186,0.0049356356365653775,4,PCA
63,0.28494474029169437,0.8468206879051419,4,t-SNE
64,0.7318931676117332,0.9576102714507435,4,UMAP
65,0.7126458091149108,0.22711192857259002,4,PCA
66,0.34436731885194616,0.9283823540719893,3,t-SNE
67,0.9968351222403545,0.7842927677336711,3,UMAP
68,0.9995136710997423,0.37481760676474746,3,PCA
69,0.6653539052787489,0.6193273970180011,5,t-SNE
70,0.2770334055273951,0.7478593535198306,5,UMAP
71,0.2727513794473587,0.0004385721543002097,5,PCA
72,0.07242755756507868,0.49071486815023285,2,t-SNE
73,0.6455248135514974,0.008146029229080698,2,UMAP
74,0.999203452666307,0.3765203387375951,2,PCA
75,0.9607895373305848,0.36408781696873693,1,t-SNE
76,0.9363664396205849,0.15651419621047136,1,UMAP
77,0.002645057634403314,0.9993056017241739,1,PCA
78,0.9562460423132841,0.3578118552010683,1,t-SNE
79,0.9453854434420039,0.1509462204073646,1,UMAP
80,0.0027165456502112884,0.9993421488881185,1,PCA
81,0.9747755911976238,0.34108014794651165,1,t-SNE
82,0.9270511090657916,0.14506999509825397,1,UMAP
83,0.002496125762736001,0.9992318970589977,1,PCA
84,0.29667346528787963,1.358483215041506e-05,7,t-SNE
85,0.04181381216827357,0.5035182205337297,7,UMAP
86,0.27136799964177716,0.0026697341333684066,7,PCA
87,0.6408770464361467,0.5885103590753087,5,t-SNE
88,0.33955684689924415,0.7429794972500288,5,UMAP
89,0.2726611687113131,0.002542546016136127,5,PCA
90,0.9562481251431636,0.35784175464767864,0,t-SNE
91,0.9419897358241505,0.15374651349304935,0,UMAP
92,0.002716545016983374,0.9993421471241992,0,PCA
93,0.5319442316844744,0.5944459567182121,4,t-SNE
94,0.38941153416428187,0.8035811891166972,4,UMAP
95,0.2708616843813907,0.004220197450090668,4,PCA
96,0.9242616603635441,0.3429459733788553,1,t-SNE
97,0.9124088821808127,0.15890066372290151,1,UMAP
98,0.003788865402013175,0.999890358469899,1,PCA
99,0.32883265617393176,0.9142736600357306,3,t-SNE
100,0.936355907459754,0.5335463520717265,3,UMAP
101,0.9994684886713703,0.37496320394812027,3,PCA
102,0.9747622511681577,0.34108392863093084,0,t-SNE
103,0.927666618784343,0.14445773543412038,0,UMAP
104,0.0024961262310812526,0.9992318979588923,0,PCA
105,0.295374411730736,0.011090862021679304,7,t-SNE
106,0.036330067095715735,0.5001881822063563,7,UMAP
107,0.27108835748492965,0.003205782576846894,7,PCA
108,0.31552955974480973,0.03397192297143853,7,t-SNE
109,0.07671556466132379,0.48443314517830227,7,UMAP
110,0.2716020934561043,0.004487101774664576,7,PCA
111,0.5214468186831626,0.5623337395967098,5,t-SNE
112,0.4149703731778631,0.821240641079077,5,UMAP
113,0.2710126899037274,0.0049822839749396886,5,PCA
114,0.5291497744617584,0.23422001276461585,4,t-SNE
115,0.0068405653195838245,0.8288782950484213,4,UMAP
116,0.275549895795588,0.005258840848894941,4,PCA
117,0.4341208611256813,0.3191793095316821,4,t-SNE
118,0.19491818851514675,0.9919573864012725,4,UMAP
119,0.2720032613956944,0.009557337619794548,4,PCA
120,0.4169414183764014,0.3590000666425728,5,t-SNE
121,0.2307973291902934,0.9936261812341598,5,UMAP
122,0.26992888077949045,0.007144497363627267,5,PCA
