,X,Y,Class,Method
0,0.21033129379758342,0.8841613549127552,1,t-SNE
1,0.3247975329009355,0.2575768107615405,1,UMAP
2,0.5958446148235809,0.3740856580724876,1,PCA
3,0.5387052109678945,0.16605841004208144,0,t-SNE
4,0.5721605947162608,0.1054068128747454,0,UMAP
5,0.4117059612093711,0.15746375609753088,0,PCA
6,0.7227410331782523,0.45102984245685884,0,t-SNE
7,0.3451481201012851,0.4858537854954098,0,UMAP
8,0.5139955492562431,0.16012608644460924,0,PCA
9,0.725564419941314,0.44455835642953817,0,t-SNE
10,0.33722749204533253,0.5334121450110311,0,UMAP
11,0.5799217236754711,0.225832469000371,0,PCA
12,0.6801200447672648,0.46139195568502933,1,t-SNE
13,0.37877828477371994,0.5226081366062086,1,UMAP
14,0.5242185406915788,0.22142566028818345,1,PCA
15,0.23935969639416832,0.9531173729397511,1,t-SNE
16,0.2298191503519396,0.6119413586611298,1,UMAP
17,0.6047980864728353,0.4354185293596035,1,PCA
18,0.9156524621971935,0.6151493711362741,0,t-SNE
19,0.9211859417632807,0.3629063343769768,0,UMAP
20,0.35815266800549295,0.6360904038512736,0,PCA
21,0.21816660902393387,0.7748412177288612,0,t-SNE
22,0.7587357672021042,0.7559624832177068,0,UMAP
23,0.3876356305564063,0.4903875886637873,0,PCA
24,0.590229593559185,0.7918263389595381,1,t-SNE
25,0.23263465795692978,0.08154277945302413,1,UMAP
26,0.6774313151159627,0.43878006769852745,1,PCA
27,0.38910489954055527,0.693585483109007,0,t-SNE
28,0.7168663236259046,0.9929856510040156,0,UMAP
29,0.4499527730787367,0.7011678731824897,0,PCA
30,0.7392509668107395,0.4816136912916246,0,t-SNE
31,0.3529322045837174,0.3019892363350864,0,UMAP
32,0.4906256953612706,0.18740551814866835,0,PCA
33,0.22440649614065733,0.7361435234400039,0,t-SNE
34,0.7667885243161101,0.778543708795119,0,UMAP
35,0.20307438340366651,0.5317216118685928,0,PCA
36,0.8184754503879224,0.6664422213522917,1,t-SNE
37,0.1854161308419076,0.3337366669098125,1,UMAP
38,0.5799858116914905,0.2374488689950267,1,PCA
39,0.8408835665353165,0.6259267597736428,0,t-SNE
40,0.441990787144536,0.3463052023378982,0,UMAP
41,0.38994131082959893,0.05677014189574009,0,PCA
42,0.08168341390109268,0.6726974194242343,1,t-SNE
43,0.9039616145510418,0.6879845030206743,1,UMAP
44,0.4979952808224686,0.9284909015930641,1,PCA
45,0.2133922581404959,0.6222190235892656,1,t-SNE
46,0.8068791791715761,0.8476252088236151,1,UMAP
47,0.4389103799657143,0.7511462554866319,1,PCA
48,0.3065721944268105,0.40772680323824834,0,t-SNE
49,0.9867601758638557,0.446569793765897,0,UMAP
50,0.35455851297000895,0.7761766597925646,0,PCA
51,0.46080294069039657,0.573746685866069,0,t-SNE
52,0.6445333188165,0.5848968418181604,0,UMAP
53,0.13394033117049575,0.4616619485675985,0,PCA
54,0.9203420927353503,0.41089275277553705,1,t-SNE
55,0.40374544514776717,0.14279221058029157,1,UMAP
56,0.7022894663798012,0.4972721417804108,1,PCA
57,0.21925167475112123,0.4621982826326539,0,t-SNE
58,0.9131451685267381,0.42260733367059017,0,UMAP
59,0.29676166361526135,0.6429961915250639,0,PCA
60,0.5309322616355957,0.26493343806297925,0,t-SNE
61,0.5564131896144132,0.030594386414214858,0,UMAP
62,0.6367310314814552,0.4514621454769353,0,PCA
63,0.3657049076733288,0.24606030190156808,0,t-SNE
64,0.24719250150629735,0.3241758675071108,0,UMAP
65,0.4638581822665942,0.18653622303423933,0,PCA
66,0.46012611801318715,0.3050274032340067,0,t-SNE
67,0.4853427816220567,0.15446085010209532,0,UMAP
68,0.4972461318774735,0.2967237993621449,0,PCA
69,0.31349967812911667,0.9680512334814009,1,t-SNE
70,0.18202008406508466,0.6324626405591107,1,UMAP
71,0.7081558810196185,0.4986278921321252,1,PCA
72,0.4466758675982567,0.4315736962920822,0,t-SNE
73,0.8733768981324228,0.2760009821923365,0,UMAP
74,0.2906424248970259,0.44405099877589044,0,PCA
75,0.3854118777686839,0.26805057018988815,0,t-SNE
76,0.6416914149056581,0.01872174044396191,0,UMAP
77,0.5037082461572111,0.23770637212164575,0,PCA
78,0.6787049825005393,0.9205997811391495,1,t-SNE
79,0.8529092979012747,0.44931282927848765,1,UMAP
80,0.4259503007242527,0.5669112922405993,1,PCA
81,0.3046960337924808,0.6082553219426887,1,t-SNE
82,0.10845582166837339,0.6744809946659145,1,UMAP
83,0.9081073845069669,0.5975365129522493,1,PCA
84,0.7139572581469016,0.5407723741588133,1,t-SNE
85,0.43992742672752616,0.6775848862552283,1,UMAP
86,0.7649473299456293,0.3989914790211001,1,PCA
87,0.13154018645878018,0.4241632725434408,0,t-SNE
88,0.7558230040764135,0.42688735605479,0,UMAP
89,0.10351831038657394,0.5184892140873314,0,PCA
90,0.7147270484138696,0.4740761701159375,1,t-SNE
91,0.3738757440543825,0.4936110555901299,1,UMAP
92,0.4975826425997653,0.1239578205857289,1,PCA
93,0.5765938883867457,0.7708156719645773,1,t-SNE
