Dataset,Classifier,Fit time,Test accuracy,Train accuracy
adult,Nearest Neighbors,0.3414,0.7747,0.8329
adult,Linear SVM,1.2043,0.5812,0.5812
adult,RBF SVM,123.868,0.7933,0.823
adult,Gaussian Process,600.0,0.0,0.0
adult,Decision Tree,0.3127,0.8093,0.9998
adult,Random Forest,16.6492,0.8525,0.9998
adult,Neural Net,25.7229,0.6795,0.6782
adult,AdaBoost,7.1172,0.86,0.8606
adult,Naive Bayes,0.1871,0.795,0.7948
adult,QDA,0.2743,0.8036,0.8037
adult,"NN-(300, 100)-relu-sigmoid-mean_squared_error",43.9048,0.8256,0.8031
adult,"NN-(300, 100)-relu-softmax-crossentropy",36.6117,0.7592,0.7592
adult,"NN-(500, 300)-relu-sigmoid-mean_squared_error",83.1769,0.8226,0.8026
adult,"NN-(500, 300)-relu-softmax-crossentropy",68.234,0.7592,0.7592
adult,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",55.9782,0.8172,0.8011
adult,"NN-(500, 500, 2000)-relu-softmax-crossentropy",44.5372,0.7592,0.7592
allbp,Nearest Neighbors,0.0135,0.9531,0.9615
allbp,Linear SVM,0.7039,0.9568,0.9568
allbp,RBF SVM,0.3765,0.9563,0.9574
allbp,Gaussian Process,600.0,0.0,0.0
allbp,Decision Tree,0.0141,0.9735,1.0
allbp,Random Forest,1.5388,0.9738,1.0
allbp,Neural Net,20.6178,0.9597,0.9628
allbp,AdaBoost,1.4154,0.9525,0.9515
allbp,Naive Bayes,0.011000000000000001,0.2484,0.2581
allbp,QDA,0.0675,0.1249,0.1237
allbp,"NN-(300, 100)-relu-sigmoid-mean_squared_error",11.6101,0.9663,0.9620000000000001
allbp,"NN-(300, 100)-relu-softmax-crossentropy",15.9707,0.9629,0.9604
allbp,"NN-(500, 300)-relu-sigmoid-mean_squared_error",22.978,0.9645,0.96
allbp,"NN-(500, 300)-relu-softmax-crossentropy",20.6975,0.965,0.96
allbp,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",62.6584,0.9581,0.9573
allbp,"NN-(500, 500, 2000)-relu-softmax-crossentropy",69.5097,0.9621,0.9594
ann,Nearest Neighbors,0.2984,0.9404,0.9487
ann,Linear SVM,2.1773,0.9258,0.9258
ann,RBF SVM,5.5745,0.9274,0.9274
ann,Gaussian Process,600.0,0.0,0.0
ann,Decision Tree,0.0131,0.9918,1.0
ann,Random Forest,2.5514,0.9936,1.0
ann,Neural Net,87.7663,0.9612,0.9657
ann,AdaBoost,1.9743,0.9887,0.9918
ann,Naive Bayes,0.0525,0.0907,0.0923
ann,QDA,0.0819,0.5437,0.5539
ann,"NN-(300, 100)-relu-sigmoid-mean_squared_error",7.3088,0.9571,0.9465
ann,"NN-(300, 100)-relu-softmax-crossentropy",3.5683,0.9583,0.9467
ann,"NN-(500, 300)-relu-sigmoid-mean_squared_error",4.4761,0.9553,0.9457
ann,"NN-(500, 300)-relu-softmax-crossentropy",4.8373,0.9579,0.9463
ann,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",22.375,0.9319,0.9293
ann,"NN-(500, 500, 2000)-relu-softmax-crossentropy",43.4138,0.9615,0.948
australian,Nearest Neighbors,0.0012,0.6755,0.7652
australian,Linear SVM,0.6667,0.855,0.8554
